iter	Logloss
0	0.6862065393
1	0.6790871811
2	0.6722118748
3	0.6654152422
4	0.658779779
5	0.6522920626
6	0.6463476693
7	0.639856764
8	0.6339243499
9	0.628144944
10	0.6222834322
11	0.6168980472
12	0.6116337841
13	0.6064201586
14	0.6004717623
15	0.5955272825
16	0.5907987262
17	0.5854219634
18	0.5810102661
19	0.5767069489
20	0.5724264584
21	0.5678680823
22	0.563657673
23	0.5597346848
24	0.5557360806
25	0.5517849554
26	0.5478375708
27	0.5435039789
28	0.5396645494
29	0.5357728225
30	0.5318429774
31	0.5283455402
32	0.5245947417
33	0.5207758248
34	0.5177401784
35	0.5145174197
36	0.5114025307
37	0.508260901
38	0.5050862531
39	0.5018516256
40	0.4990410684
41	0.4961905243
42	0.4934802997
43	0.4905369239
44	0.4877422555
45	0.4847613593
46	0.4822993065
47	0.4795593945
48	0.4770164999
49	0.47473771
50	0.4724288054
51	0.4702239343
52	0.4679647562
53	0.4657005346
54	0.4631769078
55	0.460903574
56	0.4588182195
57	0.4567122227
58	0.4546184473
59	0.4524634452
60	0.4503954466
61	0.4483851676
62	0.4465443747
63	0.4447046459
64	0.4428262939
65	0.4410684702
66	0.4391699581
67	0.4376403283
68	0.4358791261
69	0.4341945332
70	0.4326649945
71	0.4310536164
72	0.4294636469
73	0.4278962611
74	0.4264395495
75	0.4249846336
76	0.4234240632
77	0.4220012372
78	0.420580818
79	0.4191428893
80	0.4177290425
81	0.4163005692
82	0.4151921565
83	0.4141512054
84	0.4129665054
85	0.4116805183
86	0.410446288
87	0.40921326
88	0.4081865586
89	0.4070405031
90	0.4056575807
91	0.4044423768
92	0.4032303019
93	0.4018850906
94	0.4006842308
95	0.3995138878
96	0.3984515311
97	0.3973841951
98	0.3962829367
99	0.3951234408
100	0.3944361653
101	0.3935994571
102	0.3925496365
103	0.3912668827
104	0.3902793254
105	0.3894862065
106	0.3883705845
107	0.3874704585
108	0.3868157499
109	0.3858168091
110	0.3848299629
111	0.3840443768
112	0.3832216
113	0.3823219702
114	0.3814658474
115	0.3805861916
116	0.3797374644
117	0.3788068997
118	0.3780251518
119	0.3774219012
120	0.3767423139
121	0.3760192183
122	0.3754719883
123	0.3747513767
124	0.3740955969
125	0.3733269577
126	0.3726214287
127	0.3720544031
128	0.3714428557
129	0.3707438801
130	0.3700812475
131	0.369303336
132	0.3685060181
133	0.3677070905
134	0.3670333271
135	0.3663751245
136	0.3658060298
137	0.3652341465
138	0.3646590204
139	0.3641249592
140	0.3635534752
141	0.3631343925
142	0.3624985948
143	0.3619483269
144	0.3613974761
145	0.3608383287
146	0.3602939402
147	0.3599207045
148	0.3594410873
149	0.3588407635
150	0.3583514568
151	0.3578860517
152	0.3572790496
153	0.3568344629
154	0.3563599043
155	0.3559425976
156	0.3552940697
157	0.3546961073
158	0.3542586277
159	0.3537057942
160	0.3532680346
161	0.3526562831
162	0.3521890786
163	0.3516443273
164	0.3510798993
165	0.3507347457
166	0.3502877682
167	0.3499031888
168	0.3494271617
169	0.3490821234
170	0.3485507954
171	0.3480942738
172	0.3476607308
173	0.3472229006
174	0.3468319726
175	0.3465099718
176	0.3461099202
177	0.345719456
178	0.3453836257
179	0.3449964549
180	0.3446366303
181	0.3441332156
182	0.3437094858
183	0.3431896543
184	0.3428328058
185	0.3422748934
186	0.3419063162
187	0.3415693231
188	0.3412037698
189	0.3408420339
190	0.3405804875
191	0.3402854632
192	0.3398120626
193	0.3395263948
194	0.339076134
195	0.3387866274
196	0.3384395586
197	0.3381043449
198	0.3377760448
199	0.3374935884
200	0.3371552907
201	0.3367717941
202	0.3364200631
203	0.3360979039
204	0.3357345102
205	0.3354095837
206	0.3350256103
207	0.3346490204
208	0.3343437645
209	0.3340060833
210	0.3335655196
211	0.3332401189
212	0.332863745
213	0.3324503578
214	0.3321136568
215	0.3318614125
216	0.3316141877
217	0.3313541915
218	0.3309473352
219	0.3306343202
220	0.3303171653
221	0.3300084313
222	0.3297160727
223	0.3294733117
224	0.3292667792
225	0.3289929021
226	0.3287595668
227	0.3284881268
228	0.3281422602
229	0.3279081247
230	0.32761757
231	0.3273765108
232	0.3271427905
233	0.3269293788
234	0.3266077608
235	0.3263965552
236	0.326200646
237	0.3259825553
238	0.3257570671
239	0.3254059428
240	0.3251512707
241	0.3249050943
242	0.3246699987
243	0.3244108443
244	0.3240793653
245	0.323874497
246	0.3236108446
247	0.3232423322
248	0.3229727156
249	0.3227060964
250	0.3225618078
251	0.3222662788
252	0.3220441796
253	0.3217814577
254	0.3215885036
255	0.3213731256
256	0.3211711183
257	0.3208346991
258	0.3206092476
259	0.3202801528
260	0.3200203534
261	0.3197109786
262	0.3195467235
263	0.3193470341
264	0.3190734557
265	0.3189016426
266	0.3186309693
267	0.3183493616
268	0.318133133
269	0.3179182704
270	0.3175705723
271	0.3173719835
272	0.3171063298
273	0.3168773481
274	0.3166444364
275	0.3164317086
276	0.3162426481
277	0.3160437732
278	0.3158192776
279	0.3156770813
280	0.3154357468
281	0.3152063185
282	0.3150164751
283	0.3147902357
284	0.3145308023
285	0.3142541084
286	0.3139980637
287	0.3137141218
288	0.31350356
289	0.3132826432
290	0.3130448095
291	0.3127910569
292	0.3125487355
293	0.3122955313
294	0.3121731605
295	0.3119833234
296	0.311830078
297	0.3116063541
298	0.3113464029
299	0.3111299647
300	0.310912718
301	0.3107972561
302	0.3106153405
303	0.3104396499
304	0.3102261571
305	0.3100073759
306	0.3098512138
307	0.3097035989
308	0.3094949267
309	0.3093526919
310	0.3091539366
311	0.3089160599
312	0.3086692798
313	0.3084090452
314	0.3082524791
315	0.3080416886
316	0.307864892
317	0.3077195109
318	0.3075082725
319	0.30731812
320	0.3071594246
321	0.3069657371
322	0.3067772104
323	0.3065556264
324	0.3062861805
325	0.3061218161
326	0.3058760014
327	0.3057204172
328	0.3054379495
329	0.3053170516
330	0.3050874575
331	0.3048837881
332	0.3047455473
333	0.3045324199
334	0.3043889742
335	0.3042797712
336	0.3040393152
337	0.3038408201
338	0.3037152506
339	0.3035970736
340	0.3033990508
341	0.3032537902
342	0.3030379418
343	0.3028467708
344	0.3026184506
345	0.302454279
346	0.302311219
347	0.3021388193
